cohort,feature_set,n_variants,AUC_mean,AUC_lo,AUC_hi,R90_recall_mean,R90_precision_mean
headline,L6_full,7125,0.93,0.9244,0.9356,0.8451,0.8548
headline,L2_base,7125,0.7971,0.7863,0.8074,0.8454,0.649
missense,L6_full,3121,0.8144,0.7995,0.8291,0.9099,0.5251
missense,L2_base,3121,0.6781,0.6574,0.6972,0.7976,0.4034
all_tier,L6_full,7736,0.9301,0.9243,0.9355,0.8556,0.8952
all_tier,L2_base,7736,0.7922,0.7822,0.802,0.8601,0.6665
ge2star,L6_full,3554,0.9666,0.9619,0.9711,0.8929,0.8957
ge2star,L2_base,3554,0.7457,0.7289,0.7627,0.8908,0.4961
random_split,L6_full,7125,0.9963,0.9954,0.9971,0.9054,0.9932
random_split,L2_base,7125,0.8449,0.8354,0.8542,0.9087,0.628
