contrast,n_folds,mean_delta,paired_se,paired_t,significant_p05
L3_consequence - L2_base,50,0.12803391050079962,0.005399356862564799,23.71280761019768,True
L4_constraint - L3_consequence,50,0.0010032728744149577,0.004502290378036081,0.22283611010727164,False
L5_frequency - L4_constraint,50,0.01991125551625343,0.006501950066948999,3.062351342479114,True
L6_full - L5_frequency,50,0.0038855544339142646,0.0008878683924984088,4.376272955252462,True
F_minus_consequence - L6_full,50,-0.0853108548571277,0.007357861941704738,-11.59451693073791,True
F_minus_frequency - L6_full,50,-0.010011716948335232,0.005460945575950765,-1.8333302921796955,False
F_minus_constraint - L6_full,50,0.011438959215888802,0.0026132314650550792,4.377323390160428,True
F_minus_conservation - L6_full,50,-0.011875138443412668,0.0029642684672489534,-4.006094108754468,True
F_minus_domain - L6_full,50,-0.0037345287924471582,0.0010470359074376695,-3.5667628645004004,True
F_minus_allele - L6_full,50,0.0006579353551258116,0.0006989113365817452,0.9413717029454121,False
