contrast,n_folds,mean_delta,paired_se,paired_t,significant_p05
L3_consequence - L2_base,50,0.005872432120268638,0.0014928759370754108,3.9336370654971575,True
L4_constraint - L3_consequence,50,0.025363867233659274,0.016950909136662945,1.4963130902990938,False
L5_frequency - L4_constraint,50,0.14586194793697468,0.01815064488945291,8.036185426212214,True
L6_full - L5_frequency,50,0.002438991372304897,0.003626205411153508,0.6726015478337302,False
F_minus_consequence - L6_full,50,0.0006522725041340038,0.003802475836575145,0.17153889522714222,False
F_minus_frequency - L6_full,50,-0.13559359043827895,0.01983278800358995,-6.8368396018620805,True
F_minus_constraint - L6_full,50,-0.05406773864607161,0.013601255447748956,-3.9752020579114973,True
F_minus_conservation - L6_full,50,-0.04013012028350186,0.008737073507903193,-4.593084886741748,True
F_minus_domain - L6_full,50,-0.004249216897095807,0.003750467548119694,-1.1329832461091849,False
F_minus_allele - L6_full,50,0.003122145849344813,0.0035371947073608422,0.8826615743961396,False
