tag,feature_set,n_seeds,n_rows_per_seed,AUC_mean,AUC_sd,recall_mean,recall_sd,precision_mean,precision_sd,specificity_mean,specificity_sd,accuracy_mean,accuracy_sd,FP_mean,FP_sd,FN_mean,FN_sd,TP_mean,TP_sd,TN_mean,TN_sd
headline,L6_full,10,7125,0.9267,0.0076,0.8367,0.0092,0.8548,0.0143,0.8565,0.0165,0.8466,0.0085,509.2,58.6473,584.1,32.875,2991.9,32.875,3039.8,58.6473
headline,L2_allele_conservation,10,7125,0.7941,0.0059,0.8437,0.0068,0.6514,0.0087,0.5447,0.0186,0.6948,0.0085,1615.8,66.1678,558.8,24.2432,3017.2,24.2432,1933.2,66.1678
headline_codingnt,L6_full,10,3121,0.8099,0.018,0.8826,0.0192,0.5252,0.02,0.6286,0.0346,0.7091,0.0206,791.8,73.7907,116.1,19.0231,872.9,19.0231,1340.2,73.7907
headline_codingnt,L2_allele_conservation,10,3121,0.6719,0.0121,0.782,0.0257,0.4008,0.0065,0.4575,0.0233,0.5603,0.0107,1156.7,49.6903,215.6,25.3737,773.4,25.3737,975.3,49.6903
headline_randomsplit,L6_full,10,7125,0.9955,0.0002,0.8984,0.0051,0.9921,0.0009,0.9928,0.0008,0.9454,0.0022,25.6,2.9136,363.4,18.2769,3212.6,18.2769,3523.4,2.9136
headline_randomsplit,L2_allele_conservation,10,7125,0.8404,0.0011,0.8988,0.005,0.6356,0.0036,0.4807,0.0104,0.6905,0.0033,1843.0,37.0255,361.9,17.8851,3214.1,17.8851,1706.0,37.0255
sens_alltier,L6_full,10,7736,0.9246,0.007,0.8463,0.0073,0.891,0.0098,0.8783,0.0128,0.861,0.0055,432.9,45.5911,642.2,30.597,3535.8,30.597,3125.1,45.5911
sens_alltier,L2_allele_conservation,10,7736,0.7873,0.0023,0.8567,0.009,0.6717,0.0063,0.508,0.0171,0.6964,0.0056,1750.4,60.8974,598.6,37.6304,3579.4,37.6304,1807.6,60.8974
sens_ge2star,L6_full,10,3554,0.9657,0.0033,0.8849,0.0118,0.8918,0.0156,0.9201,0.0134,0.9051,0.0072,163.0,27.4186,174.1,17.8167,1338.9,17.8167,1878.0,27.4186
sens_ge2star,L2_allele_conservation,10,3554,0.7416,0.0083,0.8786,0.0112,0.5071,0.0068,0.3666,0.0241,0.5846,0.0098,1292.8,49.2179,183.7,17.0101,1329.3,17.0101,748.2,49.2179
cohort7270,L6_full,10,6621,0.9351,0.0054,0.8514,0.0053,0.8863,0.0095,0.8816,0.0117,0.8659,0.0047,376.4,37.1729,511.5,18.3136,2930.5,18.3136,2802.6,37.1729
cohort7270,L2_allele_conservation,10,6621,0.7826,0.0028,0.8442,0.0062,0.6466,0.0044,0.5003,0.0127,0.6791,0.0037,1588.5,40.2913,536.1,21.1789,2905.9,21.1789,1590.5,40.2913
