feature,group,mean_abs_shap,mean_shap,direction,share_pct
p4_freq_log10,frequency,1.3952008986104936,0.019829829369094224,higher value -> benign,33.9
p1_has_frameshift,consequence,0.5733819679107508,0.17533877769317896,higher value -> pathogenic,13.9
p1_has_stop_gained,consequence,0.5143798277858667,0.09203885237834386,higher value -> pathogenic,12.5
p3_gene_constraint_oe_mis_upper,constraint,0.454428693555694,0.21489948766510164,higher value -> pathogenic,11.0
ensembl_conservation,conservation,0.3198644265644407,0.0214151874077324,higher value -> pathogenic,7.8
p1_has_canonical_splice,consequence,0.27825698052877196,0.04351933219431579,higher value -> pathogenic,6.8
p3_gene_constraint_oe_lof_upper,constraint,0.2477813436349889,0.16476610445613735,higher value -> benign,6.0
p3_variant_is_coding,domain,0.10425346401540239,-0.03346130609696056,higher value -> pathogenic,2.5
p2_not_observed_in_gnomad_r4,frequency,0.09740977530129473,0.0016700642352165463,higher value -> pathogenic,2.4
p3_in_specific_domain,domain,0.052576918639770084,-0.018414576125233423,higher value -> pathogenic,1.3
has_del,allele,0.029594697937542318,0.007800839604273825,higher value -> pathogenic,0.7
variant_length,allele,0.025592366643938557,0.006154586695333024,higher value -> pathogenic,0.6
p3_specific_domain_count,domain,0.023764201813205894,-0.005216050029189993,higher value -> pathogenic,0.6
p1_has_splice_region,consequence,0.00188561258490274,-6.542107000527704e-05,higher value -> benign,0.0
has_dup,allele,0.0012086734456380772,0.0003382359969247298,higher value -> pathogenic,0.0
has_ins,allele,0.0007099332078928281,0.0002288773878016,higher value -> benign,0.0
p2_af_known_missing,frequency,0.0,0.0,higher value -> benign,0.0
p2_low_an_flag,frequency,0.0,0.0,higher value -> benign,0.0
