feature,group,mean_abs_shap,mean_shap,direction,share_pct
p4_freq_log10,frequency,0.3972466028617024,0.04093567442840082,higher value -> benign,46.3
ensembl_conservation,conservation,0.15826769390586032,0.03152761500152067,higher value -> pathogenic,18.4
p3_gene_constraint_oe_mis_upper,constraint,0.14521675805027887,0.04630965941329327,higher value -> pathogenic,16.9
p3_gene_constraint_oe_lof_upper,constraint,0.10020017320234192,0.08330231656780293,higher value -> benign,11.7
p2_not_observed_in_gnomad_r4,frequency,0.030619074567729894,-0.0006244861350608779,higher value -> pathogenic,3.6
p3_specific_domain_count,domain,0.021394673884832426,0.0013433753790402917,higher value -> pathogenic,2.5
variant_length,allele,0.0027230975329965395,-0.0010553602877857097,higher value -> pathogenic,0.3
p3_in_specific_domain,domain,0.0016694422531348286,-9.614483051009291e-05,higher value -> pathogenic,0.2
p1_has_splice_region,consequence,0.0005221995462422621,1.0502624437648198e-05,higher value -> pathogenic,0.1
has_del,allele,0.00024666823980019225,-0.00012473301421223967,higher value -> pathogenic,0.0
has_ins,allele,5.061086086158282e-06,2.507433218487664e-06,higher value -> benign,0.0
p1_has_frameshift,consequence,0.0,0.0,higher value -> benign,0.0
p1_has_stop_gained,consequence,0.0,0.0,higher value -> benign,0.0
p1_has_canonical_splice,consequence,0.0,0.0,higher value -> benign,0.0
has_dup,allele,0.0,0.0,higher value -> benign,0.0
p2_af_known_missing,frequency,0.0,0.0,higher value -> benign,0.0
p2_low_an_flag,frequency,0.0,0.0,higher value -> benign,0.0
p3_variant_is_coding,domain,0.0,0.0,higher value -> benign,0.0
